0001.jpg	Sản phẩm móc len hình lục giác nổi bật với bông hoa đỏ sáu cánh ở trung tâm, được bao quanh bởi các dải màu xanh lá và xanh dương, với viền ngoài cùng màu đỏ rực.
0002.jpg	Sản phẩm móc len hình dấu chân mèo màu hồng đất, được viền trắng kem hoặc tạo thành ô vuông trên nền xanh nhạt.
0003.jpg	Sản phẩm móc len hình tròn với họa tiết hoa ở trung tâm, nổi bật với viền 8 cánh răng cưa được phối màu hồng, trắng và xanh dương.
0004.jpg	Sản phẩm móc len hình vuông màu xanh ngọc, nổi bật với họa tiết ren hoa ở trung tâm và các ô trống hình lá xung quanh.
0005.jpg	Sản phẩm là miếng móc len hình vuông với hoa văn lưới màu tím đậm, viền ngoài màu tím nhạt và điểm nhấn là bông hoa nổi màu tím oải hương ở trung tâm.
0006.jpg	Móc len hình sao biển năm cánh, nổi bật với tông màu cam đất ấm áp, viền ngoài vàng nhạt và các đường vân màu cam sẫm chạy dọc mỗi cánh.
0007.jpg	Sản phẩm móc len hình hoa cúc với những cánh hoa màu trắng tinh khôi và nhụy hoa màu hồng nổi bật.
0008.jpg	Móc len hình bí ngô màu vàng cam đặc trưng, với cuống màu xanh lá và hoa văn ren xoắn ốc ở thân.
0009.jpg	Sản phẩm móc len này có màu đỏ tươi đặc trưng, với hình dáng chuông và bông tuyết được đan móc tinh xảo, giúp dễ dàng nhận diện.
0010.jpg	Sản phẩm móc len hình vuông nổi bật với họa tiết ngôi sao tám cánh màu vàng và hồng đào ở trung tâm, được bao quanh bởi viền kem.
0011.jpg	Sản phẩm móc len hình vuông nổi bật với họa tiết hoa nhiều cánh ở trung tâm, có nhụy xanh lá, các lớp cánh màu kem, đỏ đô và xanh dương, được bao quanh bởi khung viền trắng.
0012.jpg	Sản phẩm móc len hình vuông, nổi bật với họa tiết mặt trời màu kem ở trung tâm trên nền xanh dương, được bao quanh bởi các lớp màu tím, hồng và cam rực rỡ.
0013.jpg	Miếng móc len hình vuông với họa tiết hoa vàng ở trung tâm, bao quanh bởi các lớp cánh hoa xanh lam và xanh lá, cùng viền ngoài màu kem.
0014.jpg	Sản phẩm móc len hình vuông với họa tiết hoa ở giữa, đặc trưng bởi tâm hoa màu vàng cam, cánh hoa tím nhạt và viền ngoài màu trắng.
0015.jpg	Sản phẩm móc len hình hoa tròn có viền sò điệp, nổi bật với sự phối hợp màu sắc đa dạng như trắng, hồng phấn, xanh ngọc và vàng ở các lớp cánh hoa.
0016.jpg	Tấm móc len hình vuông này có họa tiết hoa văn mở, với màu sắc chuyển từ xanh ngọc đậm ở trung tâm ra đến xanh dương tươi sáng ở viền ngoài.
0017.jpg	Sản phẩm móc len hình vuông, có hoa văn trung tâm màu hồng đậm, các lớp màu hồng nhạt và xanh lá bao quanh, với viền ngoài màu hồng cánh sen.
0018.jpg	Sản phẩm móc len hình lục giác nổi bật với các họa tiết hình tam giác và hoa văn trung tâm, kết hợp hài hòa giữa sắc xanh lá mạ và nâu đất.
0019.jpg	Miếng móc len hình vuông màu hồng đậm nổi bật với họa tiết xoắn ốc độc đáo ở trung tâm, bao quanh bởi các đường viền ren khoét lỗ tinh xảo.
0020.jpg	Tấm móc len hình vuông nổi bật với họa tiết hoa/ngôi sao ở giữa, có tâm trắng, các lớp cánh màu xanh lam, hồng đậm và viền ngoài màu vàng tươi.
0021.jpg	Những miếng móc len hình vuông nhỏ, phồng nhẹ, đặc trưng với họa tiết hoa văn đa sắc ở trung tâm nổi bật trên nền len màu kem, xanh olive, tím nhạt hoặc xám.
0022.jpg	Móc len hình vuông họa tiết granny square, đặc trưng bởi sự xen kẽ màu xanh lá cây và xanh dương đậm tạo thành các ô lưới rõ nét.
0023.jpg	Lót cốc móc len hình đầu mèo ngộ nghĩnh, có tai màu hồng và các chi tiết mặt được thêu. Sản phẩm có ba màu chính: xám nhạt, trắng và xám đậm.
0024.jpg	Sản phẩm móc len hình vuông họa tiết granny square, nổi bật với trung tâm màu xanh ngọc đậm, các lớp màu xanh bạc hà nhạt và kem xen kẽ, viền ngoài màu kem.
0025.jpg	Sản phẩm móc len hình vuông có trung tâm màu trắng hình kim cương, được bao quanh bởi viền len màu cam nổi bật.
0026.jpg	Miếng móc len hình vuông có họa tiết quả táo nổi bật ở trung tâm, với ruột trắng kem viền đỏ, cuống nâu và lá xanh nhạt trên nền xanh da trời.
0027.jpg	Sản phẩm móc len hình vuông, có họa tiết hoa trung tâm với nhụy xanh ngọc, hạt vàng kem và cánh hoa hồng, viền ngoài màu xanh ngọc.
0028.jpg	Ô vuông móc len nổi bật với bông hoa hồng màu hồng cánh sen ở trung tâm, được bao quanh bởi các lá xanh lá cây đậm và viền ngoài màu be.
0029.jpg	Sản phẩm móc len hình vuông, nổi bật với hoa cúc trắng nhụy vàng ở trung tâm, bao quanh bởi các vòng tròn đồng tâm màu xanh lam và hồng nhạt trên nền kem.
0030.jpg	Móc len hình tam giác viền xanh lá cây dạng lưới, trung tâm là bông hoa màu kem nhụy đỏ.
0031.jpg	Sản phẩm là chăn móc len gồm các ô vuông màu kem được ghép lại, mỗi ô nổi bật với họa tiết hoa đa sắc rực rỡ như hồng, tím, vàng, cam, xanh.
0032.jpg	Sản phẩm móc len hình bông hoa tám cánh, với nhụy màu hồng, cánh hoa màu kem và viền ngoài màu xanh lá cây.
0033.jpg	Sản phẩm móc len hình vuông màu tím lavender nổi bật với họa tiết bốn vòng xoắn đối xứng ở trung tâm và viền sò mềm mại.
0034.jpg	Sản phẩm móc len hình vuông với họa tiết hoa nhiều cánh nổi bật, có tâm xanh lá, cánh hoa đỏ và trắng xen kẽ, bao quanh bởi lớp cánh xanh dương và viền ngoài màu trắng.
0035.jpg	Tấm lót móc len hình tròn với tâm hồng nhạt, các vòng màu trắng và xanh lá, cùng viền ngoài tạo hình những búp hoa hồng nổi bật.
